employee_id,age,gender,country,city,education,experience_level,years_experience,job_title,industry,programming_langiage,company_size,remote_type,tools_used,certification,salary_usd,work_hours_per_week,satisfaction_score,promotion_last_2_years
31,32,Male,Germany,Lake Lanceland,PhD,Mid,5,Data Scientist,SaaS,Python,Small,Remote,"Tableau, TensorFlow, Python",TensorFlow Developer,61087.0,49,6.2,Yes
32,40,Male,USA,South Jose,Masters,Senior,9,Business Analyst,Healthcare,R,Large,Hybrid,"TensorFlow, Pandas, Power BI",AWS Certified,68696.0,54,8.1,Yes
33,34,Male,UK,Patriciaside,Bachelors,Senior,8,AI Engineer,Healthcare,R,Small,Onsite,"NumPy, PyTorch, Python",AWS Certified,48800.0,58,7.1,Yes
34,24,Other,Germany,Brewerville,Bachelors,Lead,12,AI Engineer,Consulting,Julia,Large,Onsite,"NumPy, Excel, Power BI",AWS Certified,97594.0,53,6.2,Yes
35,34,Other,Germany,Walkerhaven,Bachelors,Lead,13,Business Analyst,Finance,Julia,Medium,Onsite,"PyTorch, SQL, TensorFlow",IBM Data Science,67454.0,32,8.9,Yes
36,30,Other,Poland,Wolfstad,PhD,Entry,1,Data Engineer,EdTech,SQL,Small,Hybrid,"PyTorch, Pandas, Tableau",TensorFlow Developer,27121.0,41,7.1,No
37,51,Male,Canada,North Jeffreyland,Masters,Entry,1,BI Analyst,Consulting,SQL,Medium,Remote,"PyTorch, Power BI, SQL",Microsoft Power BI,38122.0,32,7.9,No
38,22,Other,Brazil,Ryanfort,PhD,Mid,5,Data Scientist,Gaming,R,Medium,Remote,"Excel, TensorFlow, Python",Azure Data Engineer,47896.0,57,5.3,No
39,28,Other,USA,Lake Christopher,Masters,Entry,2,Business Analyst,EdTech,Julia,Small,Remote,"Excel, PyTorch, NumPy",AWS Certified,,35,5.5,No
40,31,Female,Brazil,South Tracifort,PhD,Senior,10,AI Engineer,Gaming,Python,Small,Remote,"SQL, NumPy, Python",Google Data Analytics,68417.0,60,5.3,No
41,25,Female,Brazil,North Ashley,Masters,Lead,16,Business Analyst,E-commerce,SQL,Medium,Remote,"Spark, PyTorch, NumPy",TensorFlow Developer,73061.0,44,9.9,Yes
42,37,Other,USA,Lake Johnport,PhD,Lead,20,Analytics Engineer,Gaming,SQL,Small,Onsite,"PyTorch, Tableau, Spark",IBM Data Science,85684.0,38,4.8,Yes
43,37,Female,Brazil,Gilbertside,Bachelors,Entry,2,Analytics Engineer,E-commerce,R,Large,Hybrid,"Excel, PyTorch, Spark",Microsoft Power BI,30558.0,60,8.9,Yes
44,23,Other,Canada,Barnesshire,PhD,Entry,2,AI Engineer,EdTech,Scala,Large,Remote,"PyTorch, SQL, NumPy",None,86659.0,40,9.3,No
45,45,Other,Australia,Jessicafurt,Bachelors,Entry,1,Analytics Engineer,EdTech,Python,Small,Onsite,"Excel, PyTorch, Power BI",Azure Data Engineer,30755.0,49,7.2,No
46,42,Male,Poland,New Charlesview,Bachelors,Mid,4,Business Analyst,Consulting,Julia,Medium,Hybrid,"Tableau, SQL, Excel",None,32577.0,58,9.7,No
47,43,Male,USA,Justinhaven,Bachelors,Lead,17,Business Analyst,Consulting,SQL,Medium,Onsite,"PyTorch, SQL, Excel",Google Data Analytics,114714.0,36,9.7,Yes
48,36,Female,Australia,Cooperton,PhD,Lead,19,Data Scientist,Finance,Julia,Small,Hybrid,"SQL, Python, Power BI",Google Data Analytics,111446.0,46,5.3,No
49,40,Female,Poland,West Samanthaview,Bachelors,Lead,12,AI Engineer,Retail,Scala,Medium,Remote,"Tableau, Power BI, SQL",Microsoft Power BI,715264.0,45,9.2,Yes
50,46,Male,Poland,East Doris,Masters,Senior,8,Data Analyst,EdTech,R,Small,Remote,"TensorFlow, Spark, PyTorch",TensorFlow Developer,48800.0,41,7.4,Yes
51,33,Female,Poland,Jonesland,Masters,Mid,5,Data Analyst,Gaming,Julia,Medium,Remote,"Pandas, Python, PyTorch",TensorFlow Developer,36572.0,55,10.0,Yes
52,50,Other,Brazil,Audreymouth,Masters,Entry,0,BI Analyst,Retail,Python,Small,Hybrid,"TensorFlow, Python, Power BI",IBM Data Science,13025.0,60,4.4,Yes
53,53,Female,Germany,Lewisfort,PhD,Entry,1,Data Engineer,EdTech,R,Large,Onsite,"TensorFlow, Tableau, PyTorch",None,57622.0,55,9.9,Yes
54,47,Male,Canada,Melissafurt,Masters,Senior,9,Analytics Engineer,Gaming,Python,Small,Remote,"Power BI, PyTorch, Pandas",None,72709.0,45,6.2,Yes
55,22,Female,Germany,North Derrickport,PhD,Lead,11,Machine Learning Engineer,Healthcare,SQL,Large,Onsite,"NumPy, Tableau, Pandas",None,84320.0,45,5.5,No
56,28,Male,Poland,Lake Martin,Masters,Senior,6,Business Analyst,SaaS,Scala,Small,Onsite,"PyTorch, Pandas, Spark",AWS Certified,38290.0,60,6.0,Yes
57,46,Other,Poland,East Michael,Masters,Entry,2,Data Scntist,Retail,Julia,Medium,Remote,"NumPy, Excel, Power BI",TensorFlow Developer,34383.0,57,8.4,No
58,43,Female,Australia,Ericshire,PhD,Lead,13,Analytics Engineer,Gaming,Julia,Large,Remote,"TensorFlow, Spark, Excel",None,112938.0,55,4.8,No
59,41,Other,Poland,South Kimberly,PhD,Senior,8,Analytics Engineer,Finance,SQL,Small,Hybrid,"SQL, Pandas, Tableau",Azure Data Engineer,59577.0,48,4.4,No
60,37,Male,Brazil,Lake Eric,PhD,Senior,6,BI Analyst,EdTech,R,Large,Hybrid,"PyTorch, Python, Power BI",None,36148.0,44,9.6,Yes
61,29,Other,Poland,Lake Jillfort,Bachelors,Mid,3,BI Analyst,Retail,Python,Medium,Onsite,"Excel, NumPy, PyTorch",Google Data Analytics,27360.0,30,8.4,No
62,54,Female,Australia,South Laurenland,Bachelors,Lead,18,Data Analyst,SaaS,R,Large,Hybrid,"Power BI, Python, SQL",Google Data Analytics,78392.0,35,9.7,No
63,36,Female,Poland,Iantown,PhD,Lead,18,BI Analyst,Gaming,Scala,Large,Onsite,"Python, Pandas, Power BI",Azure Data Engineer,78834.0,42,5.1,No
64,55,Male,Australia,Lake Ashley,PhD,Senior,8,Analytics Engineer,SaaS,R,Small,Remote,"Tableau, SQL, Excel",TensorFlow Developer,55627.0,34,8.7,Yes
65,25,Female,India,Port Erikchester,Masters,Mid,4,Machine Learning Engineer,Finance,R,Small,Hybrid,"TensorFlow, Power BI, Tableau",None,31776.0,47,4.7,Yes
66,54,Other,Brazil,Catherineview,PhD,Lead,20,Analytics Engineer,Retail,R,Medium,Remote,"NumPy, Excel, SQL",None,80378.0,59,4.7,No
67,37,Female,Germany,South Taramouth,Bachelors,Entry,0,Analytics Engineer,Finance,Python,Small,Remote,"Excel, SQL, Power BI",Google Data Analytics,27893.0,55,6.2,No
68,53,Other,USA,West Sarah,Masters,Entry,1,Business Analyst,Finance,Scala,Large,Onsite,"SQL, PyTorch, Python",Microsoft Power BI,46507.0,36,4.6,Yes
69,38,Female,USA,South Davidville,PhD,Lead,14,BI Analyst,Retail,Scala,Large,Remote,"TensorFlow, SQL, Excel",Microsoft Power BI,97816.0,45,7.0,No
70,31,Other,Canada,Lake Nicholehaven,Masters,Lead,13,Business Analyst,Retail,Scala,Medium,Remote,"TensorFlow, PyTorch, Pandas",Google Data Analytics,77779.0,41,5.0,No
71,22,Other,India,Stephanieland,Masters,Lead,15,AI Engineer,EdTech,SQL,Medium,Onsite,"TensorFlow, Pandas, Excel",IBM Data Science,84205.0,56,5.0,No
72,40,Female,Germany,Natalieberg,PhD,Senior,9,BI Analyst,SaaS,SQL,Large,Hybrid,"SQL, Python, Power BI",AWS Certified,80855.0,33,8.4,Yes
73,31,Other,Poland,Port Christina,Bachelors,Lead,19,Analytics Engineer,Consulting,Scala,Medium,Onsite,"Excel, NumPy, TensorFlow",None,82745.0,33,8.3,Yes
74,47,Female,Canada,Summerstown,Masters,Lead,17,AI Engineer,Consulting,Python,Large,Hybrid,"TensorFlow, Tableau, Excel",AWS Certified,111828.0,37,9.5,No
75,34,Female,Canada,South Kevin,Masters,Entry,2,Data Analyst,SaaS,Scala,Small,Hybrid,"Power BI, Excel, SQL",AWS Certified,32331.0,30,4.1,Yes
76,26,Other,Brazil,West William,Masters,Mid,5,Data Scntist,Retail,Julia,Large,Onsite,"TensorFlow, Python, Tableau",None,36282.0,44,9.4,Yes
77,22,Male,USA,Donaldmouth,PhD,Lead,11,Machine Learning Engineer,Finance,R,Small,Remote,"Excel, Power BI, Spark",TensorFlow Developer,82237.0,32,7.7,Yes
78,22,Other,Brazil,East Brandon,PhD,Entry,2,BI Analyst,Healthcare,SQL,Large,Onsite,"TensorFlow, Tableau, Power BI",TensorFlow Developer,,55,8.8,Yes
79,27,Female,Brazil,Millerfurt,Masters,Mid,4,BI Analyst,Consulting,Scala,Small,Onsite,"TensorFlow, Excel, Spark",Google Data Analytics,30559.0,60,8.8,Yes
80,35,Male,USA,North Matthewstad,Bachelors,Senior,6,BI Analyst,Consulting,Julia,Small,Onsite,"Spark, Pandas, Python",AWS Certified,46440.0,50,5.3,No
81,55,Male,India,North Katelynton,Bachelors,Mid,5,Data Analyst,Finance,R,Large,Onsite,"Python, Tableau, Power BI",IBM Data Science,24202.0,48,9.0,Yes
82,54,Female,Germany,South Anthonyburgh,PhD,Mid,3,BI Analyst,Finance,Python,Medium,Onsite,"Tableau, SQL, Power BI",Google Data Analytics,45216.0,35,5.9,Yes
83,26,Female,India,East Allen,Masters,Lead,14,AI Engineer,E-commerce,Python,Large,Hybrid,"Power BI, Python, NumPy",Google Data Analytics,84098.0,35,7.2,Yes
84,28,Female,USA,Lake Elizabeth,Masters,Senior,6,BI Analyst,Retail,SQL,Large,Hybrid,"Power BI, NumPy, Excel",Microsoft Power BI,78274.0,41,9.3,Yes
85,39,Male,UK,Collinchester,PhD,Lead,11,Analytics Engineer,Retail,SQL,Medium,Onsite,"PyTorch, Power BI, Python",Microsoft Power BI,79617.0,45,9.0,Yes
86,49,Other,India,New Brittany,PhD,Lead,20,AI Engineer,Consulting,Scala,Large,Hybrid,"Pandas, PyTorch, NumPy",IBM Data Science,102074.0,43,8.1,Yes
87,54,Female,Germany,New David,Masters,Mid,5,BI Analyst,Healthcare,Julia,Medium,Hybrid,"TensorFlow, NumPy, Python",Azure Data Engineer,48246.0,42,6.5,No
88,36,Female,Germany,Richardmouth,Masters,Lead,13,Data Analyst,EdTech,Python,Small,Onsite,"PyTorch, Pandas, NumPy",Microsoft Power BI,47280.0,37,4.1,No
89,29,Female,USA,Lake Judychester,PhD,Senior,7,Data Engineer,EdTech,Julia,Small,Onsite,"TensorFlow, Spark, Excel",Microsoft Power BI,72334.0,40,7.3,No
90,30,Female,Canada,Denisemouth,Masters,Mid,5,Data Analyst,SaaS,R,Medium,Hybrid,"TensorFlow, Spark, Pandas",Google Data Analytics,50012.0,48,6.2,No
91,32,Male,Brazil,Richardberg,Masters,Lead,17,Analytics Engineer,SaaS,Python,Small,Remote,"Spark, Excel, Python",None,100278.0,41,7.2,Yes
92,50,Male,India,New Justin,PhD,Lead,19,Data Scientist,Consulting,SQL,Large,Onsite,"Pandas, SQL, Python",IBM Data Science,100144.0,52,5.7,No
93,50,Other,UK,Flynnchester,Bachelors,Lead,19,Analytics Engineer,EdTech,Scala,Large,Hybrid,"Pandas, Spark, TensorFlow",None,80678.0,58,7.3,Yes
94,35,Female,Germany,South Jonathanstad,Bachelors,Lead,14,BI Analyst,Gaming,SQL,Small,Remote,"Pandas, SQL, PyTorch",Azure Data Engineer,87651.0,55,7.4,No
95,55,Female,Brazil,Tonyamouth,Bachelors,Senior,8,Data Engineer,Finance,Julia,Small,Remote,"PyTorch, Pandas, Python",IBM Data Science,57042.0,35,5.2,No
96,37,Male,India,Bryantburgh,PhD,Lead,11,AI Engineer,Gaming,SQL,Small,Onsite,"Pandas, Python, TensorFlow",None,59498.0,59,7.8,Yes
97,43,Female,Australia,Port Danaberg,Masters,Entry,0,Data Scntist,Healthcare,Julia,Large,Onsite,"PyTorch, Pandas, SQL",AWS Certified,39959.0,37,7.5,No
98,54,Male,Poland,North Jessicaborough,PhD,Lead,16,Data Engineer,E-commerce,R,Small,Onsite,"Tableau, Spark, Power BI",Azure Data Engineer,56594.0,49,6.9,Yes
99,34,Female,India,Laurieside,Masters,Lead,18,Business Analyst,Healthcare,SQL,Medium,Hybrid,"Power BI, TensorFlow, SQL",IBM Data Science,94703.0,55,8.3,Yes
100,45,Other,India,Monicaville,Masters,Lead,13,BI Analyst,Consulting,Scala,Medium,Remote,"Excel, Tableau, Spark",None,46846.0,41,8.9,No
101,43,Other,India,South Robin,Bachelors,Senior,10,Data Analyst,Consulting,Scala,Small,Remote,"Spark, TensorFlow, NumPy",None,40110.0,60,4.5,Yes
102,47,Female,UK,Spencerstad,Bachelors,Entry,2,AI Engineer,Gaming,Scala,Medium,Onsite,"Spark, Excel, SQL",Azure Data Engineer,41401.0,37,6.5,Yes
103,22,Female,Poland,North Nathaniel,PhD,Senior,10,Data Analyst,SaaS,Scala,Medium,Remote,"TensorFlow, PyTorch, Excel",IBM Data Science,70005.0,59,4.7,Yes
104,22,Male,Brazil,Haroldmouth,PhD,Lead,18,Data Engineer,Gaming,R,Medium,Hybrid,"PyTorch, Power BI, Excel",Azure Data Engineer,62543.0,47,6.5,No
105,52,Other,UK,East Lisaville,Masters,Lead,18,Data Scntist,Consulting,Julia,Medium,Onsite,"Excel, Pandas, Python",None,76152.0,34,7.9,No
106,27,Male,India,Port Jasmine,PhD,Lead,19,Analytics Engineer,SaaS,Scala,Large,Remote,"Tableau, TensorFlow, Power BI",AWS Certified,105848.0,36,4.3,No
107,39,Female,Germany,East Brendamouth,Bachelors,Lead,13,Analytics Engineer,Gaming,Python,Medium,Onsite,"TensorFlow, PyTorch, Pandas",Google Data Analytics,71832.0,44,5.9,No
108,51,Female,Germany,Raymondstad,Masters,Lead,16,Machine Learning Engineer,E-commerce,Julia,Medium,Remote,"Spark, SQL, Tableau",TensorFlow Developer,96216.0,47,7.1,No
109,55,Male,India,Lake Markburgh,Bachelors,Senior,6,Data Analyst,Gaming,SQL,Medium,Onsite,"Python, SQL, Excel",AWS Certified,33941.0,47,6.8,Yes
110,49,Other,India,Smithfurt,PhD,Lead,14,Analytics Engineer,Healthcare,Python,Small,Remote,"Spark, Power BI, Pandas",IBM Data Science,83040.0,30,6.0,No
111,41,Male,UK,New Brett,Bachelors,Mid,3,AI Engineer,Consulting,R,Large,Hybrid,"NumPy, PyTorch, Excel",Microsoft Power BI,56546.0,60,7.6,No
112,41,Female,Germany,Leetown,Masters,Senior,10,BI Analyst,Healthcare,Scala,Medium,Remote,"Python, Pandas, PyTorch",Google Data Analytics,76108.0,35,7.8,No
113,41,Other,Poland,Port Edwardview,Bachelors,Lead,11,Analytics Engineer,Gaming,R,Medium,Onsite,"Power BI, Spark, TensorFlow",None,67226.0,33,5.4,Yes
114,28,Other,UK,Robertchester,Bachelors,Lead,18,Analytics Engineer,Healthcare,SQL,Medium,Hybrid,"PyTorch, Tableau, TensorFlow",AWS Certified,106984.0,36,5.0,No
115,54,Male,Canada,New Paigehaven,Masters,Mid,5,BI Analyst,SaaS,Scala,Medium,Onsite,"NumPy, Python, PyTorch",AWS Certified,43358.0,39,5.9,No
116,55,Female,Brazil,Patelstad,Masters,Lead,14,Data Analyst,EdTech,Scala,Large,Onsite,"Excel, Python, NumPy",Microsoft Power BI,60864.0,42,5.1,Yes
117,28,Other,UK,New Katelynshire,Masters,Entry,0,Data Analyst,Gaming,R,Large,Remote,"Power BI, TensorFlow, NumPy",AWS Certified,34665.0,55,6.2,No
118,34,Female,USA,North Susanchester,Masters,Lead,17,Data Analyst,Gaming,SQL,Medium,Hybrid,"Power BI, SQL, Pandas",Azure Data Engineer,110933.0,49,8.4,Yes
119,26,Male,Germany,Jacksonhaven,Bachelors,Lead,19,Business Analyst,SaaS,SQL,Large,Hybrid,"PyTorch, Spark, Python",None,649664.0,44,9.4,No
120,40,Female,Canada,Jamesmouth,Masters,Senior,8,AI Engineer,E-commerce,SQL,Small,Onsite,"Python, Pandas, NumPy",Azure Data Engineer,60317.0,32,8.2,No
121,33,Male,UK,Martinezville,PhD,Mid,4,Data Engineer,Finance,Julia,Large,Remote,"PyTorch, Pandas, NumPy",TensorFlow Developer,72386.0,57,7.6,No
122,28,Male,USA,West Deanna,Bachelors,Lead,16,Business Analyst,Retail,Julia,Small,Remote,"NumPy, Spark, Excel",IBM Data Science,108005.0,32,7.6,No
123,24,Other,Germany,South Peterburgh,Bachelors,Entry,1,Data Analyst,E-commerce,Julia,Small,Hybrid,"Tableau, Excel, TensorFlow",Microsoft Power BI,25371.0,46,6.2,No
124,37,Male,Canada,Deannaburgh,PhD,Lead,13,Data Analyst,Consulting,R,Small,Hybrid,"Spark, Pandas, SQL",Microsoft Power BI,69970.0,35,6.9,No
125,39,Female,Australia,Joannastad,Bachelors,Entry,1,Data Scientist,EdTech,Scala,Large,Hybrid,"Tableau, TensorFlow, SQL",None,40987.0,54,7.4,Yes
126,49,Female,UK,Hollyside,PhD,Entry,0,Data Scntist,Finance,Scala,Large,Onsite,"Power BI, Python, Spark",IBM Data Science,60375.0,58,4.9,Yes
127,55,Female,India,North Jefferyfurt,Masters,Senior,6,AI Engineer,Gaming,R,Small,Remote,"Pandas, Python, Excel",Google Data Analytics,44680.0,32,6.7,No
128,40,Female,Brazil,Annaborough,Masters,Lead,19,Business Analyst,Gaming,Julia,Medium,Onsite,"Spark, TensorFlow, SQL",Microsoft Power BI,77173.0,42,5.1,No
129,54,Other,UK,Lake Ericchester,Bachelors,Lead,15,BI Analyst,Finance,R,Medium,Hybrid,"Tableau, SQL, TensorFlow",Google Data Analytics,93920.0,57,4.8,Yes
130,26,Male,USA,Sierrashire,PhD,Senior,6,Machine Learning Engineer,SaaS,R,Large,Onsite,"NumPy, Spark, Tableau",AWS Certified,100688.0,54,9.5,Yes
131,33,Other,Germany,South Jaredborough,Masters,Senior,10,Data Scientist,Gaming,Python,Large,Hybrid,"Tableau, NumPy, Python",Microsoft Power BI,73374.0,32,6.9,No
132,52,Other,Canada,West Barbaraside,Masters,Entry,0,Data Engineer,Consulting,Julia,Medium,Remote,"Excel, Power BI, Spark",IBM Data Science,45118.0,47,7.9,Yes
133,48,Male,India,North Sheilahaven,Bachelors,Senior,8,Data Scientist,Healthcare,R,Large,Remote,"PyTorch, Pandas, Tableau",Google Data Analytics,63347.0,58,8.3,Yes
134,40,Female,USA,Monroeborough,Masters,Entry,1,AI Engineer,EdTech,Python,Medium,Hybrid,"Power BI, Spark, Tableau",Azure Data Engineer,61461.0,31,7.9,Yes
135,38,Other,Brazil,Marvinton,Bachelors,Lead,20,BI Analyst,Finance,Julia,Large,Onsite,"TensorFlow, SQL, Spark",Google Data Analytics,96074.0,42,6.4,Yes
136,23,Male,Brazil,North Victoriachester,PhD,Entry,2,Business Analyst,E-commerce,Julia,Large,Hybrid,"TensorFlow, Pandas, Tableau",Google Data Analytics,29477.0,56,9.7,Yes
137,35,Female,UK,South Stephen,Masters,Senior,10,Machine Learning Engineer,Finance,Julia,Small,Onsite,"TensorFlow, PyTorch, SQL",IBM Data Science,76968.0,49,4.5,Yes
138,40,Male,Germany,Kennethchester,PhD,Lead,12,Data Engineer,Consulting,Julia,Large,Onsite,"Power BI, Python, NumPy",TensorFlow Developer,92161.0,59,6.7,Yes
139,41,Female,Australia,South Lindsey,Bachelors,Senior,6,Machine Learning Engineer,E-commerce,R,Medium,Onsite,"Power BI, Python, NumPy",Google Data Analytics,49018.0,47,6.8,No
140,53,Male,Brazil,Port Ashleymouth,PhD,Mid,4,Data Engineer,Healthcare,Python,Medium,Onsite,"Python, SQL, NumPy",Azure Data Engineer,42593.0,58,8.3,Yes
141,23,Female,UK,Jessicaberg,Masters,Mid,4,Data Engineer,Gaming,Python,Large,Hybrid,"NumPy, Pandas, Power BI",TensorFlow Developer,64877.0,38,4.0,Yes
142,33,Male,UK,Williamsberg,PhD,Lead,17,Analytics Engineer,E-commerce,SQL,Small,Hybrid,"Tableau, PyTorch, TensorFlow",Azure Data Engineer,67254.0,57,4.2,No
143,39,Female,UK,Summerhaven,Bachelors,Senior,8,Data Scientist,Gaming,Julia,Small,Hybrid,"Tableau, PyTorch, Excel",Google Data Analytics,53159.0,46,6.8,No
144,48,Other,Australia,Mcgeeton,PhD,Lead,18,Machine Learning Engineer,Healthcare,Python,Small,Remote,"Spark, Pandas, Excel",None,83232.0,54,6.4,No
145,44,Other,Brazil,Jonesview,Bachelors,Lead,11,Analytics Engineer,Consulting,R,Small,Onsite,"SQL, NumPy, Power BI",TensorFlow Developer,42358.0,39,8.2,No
146,36,Male,UK,Campbellhaven,PhD,Lead,13,Data Scntist,EdTech,Julia,Medium,Hybrid,"PyTorch, Pandas, Python",None,64567.0,37,9.5,No
147,27,Female,Brazil,East Jessica,Masters,Entry,2,Business Analyst,Consulting,Julia,Small,Hybrid,"NumPy, Pandas, Python",None,20612.0,36,9.0,Yes
148,30,Other,Poland,New John,PhD,Senior,9,Business Analyst,EdTech,Python,Small,Remote,"SQL, Power BI, Pandas",Google Data Analytics,42602.0,49,8.1,Yes
149,44,Male,Australia,Jamesstad,PhD,Mid,3,Business Analyst,SaaS,R,Large,Remote,"Power BI, TensorFlow, SQL",IBM Data Science,60064.0,34,7.9,No
150,54,Female,USA,Christinashire,Masters,Mid,3,Analytics Engineer,E-commerce,Scala,Medium,Onsite,"Python, NumPy, Power BI",AWS Certified,50154.0,45,9.1,Yes
151,43,Other,Poland,Katherineburgh,Bachelors,Entry,1,Data Analyst,SaaS,Julia,Large,Remote,"PyTorch, Spark, Power BI",TensorFlow Developer,28870.0,53,6.5,No
152,49,Male,Poland,Sandersborough,Masters,Senior,7,Data Analyst,Retail,Python,Large,Remote,"TensorFlow, NumPy, Pandas",Microsoft Power BI,53478.0,57,6.8,Yes
153,53,Male,Brazil,Mooreville,PhD,Entry,2,Business Analyst,Consulting,R,Small,Onsite,"Spark, Pandas, TensorFlow",Azure Data Engineer,22877.0,49,6.7,No
154,25,Other,Canada,Johnsonberg,PhD,Senior,8,Data Scientist,E-commerce,Python,Small,Onsite,"PyTorch, Pandas, Tableau",TensorFlow Developer,73381.0,35,4.3,Yes
